class_index,make_id,make_name,model_id,class_name,folder_path,sample_image,total_samples,correct_samples,accuracy_pct
259,140,KIA,1199,Shuma,../../compcars_cctv/extracted/data_extracted/data/image/140/1199,../../compcars_cctv/extracted/data_extracted/data/image/140/1199/2014/e22a66b0bfc3a1.jpg,34,17,50.0
260,140,KIA,1200,Sorento,../../compcars_cctv/extracted/data_extracted/data/image/140/1200,../../compcars_cctv/extracted/data_extracted/data/image/140/1200/2009/721642cb98c7ec.jpg,56,35,62.5
261,140,KIA,1221,Kaizun,../../compcars_cctv/extracted/data_extracted/data/image/140/1221,../../compcars_cctv/extracted/data_extracted/data/image/140/1221/2012/559285b0ddf500.jpg,50,27,54.0
262,132,Roewe,1222,Roewe 350,../../compcars_cctv/extracted/data_extracted/data/image/132/1222,../../compcars_cctv/extracted/data_extracted/data/image/132/1222/2012/3f3112e22f3b2a.jpg,59,48,81.36
263,132,Roewe,1224,Roewe 750,../../compcars_cctv/extracted/data_extracted/data/image/132/1224,../../compcars_cctv/extracted/data_extracted/data/image/132/1224/2009/4024f28759641e.jpg,24,21,87.5
264,132,Roewe,1229,Roewe 550,../../compcars_cctv/extracted/data_extracted/data/image/132/1229,../../compcars_cctv/extracted/data_extracted/data/image/132/1229/2009/ec9f1369cf03e0.jpg,77,68,88.31
265,94,Subaru,1236,Impreza hatchback,../../compcars_cctv/extracted/data_extracted/data/image/94/1236,../../compcars_cctv/extracted/data_extracted/data/image/94/1236/2008/58667675ebab79.jpg,25,11,44.0
266,94,Subaru,1237,Impreza sedan,../../compcars_cctv/extracted/data_extracted/data/image/94/1237,../../compcars_cctv/extracted/data_extracted/data/image/94/1237/2009/9b211b54cf2978.jpg,30,17,56.67
267,29,Shangqidatong,1246,MAXUS V80xs,../../compcars_cctv/extracted/data_extracted/data/image/29/1246,../../compcars_cctv/extracted/data_extracted/data/image/29/1246/2011/6bc3f19dca5b3e.jpg,12,12,100.0
268,158,Citroen,1251,c-Elysee sedan,../../compcars_cctv/extracted/data_extracted/data/image/158/1251,../../compcars_cctv/extracted/data_extracted/data/image/158/1251/2013/bcbab58f11c99e.jpg,72,65,90.28
269,158,Citroen,1253,Elysee,../../compcars_cctv/extracted/data_extracted/data/image/158/1253,../../compcars_cctv/extracted/data_extracted/data/image/158/1253/2014/1a07d1d8a0ffbf.jpg,13,3,23.08
270,158,Citroen,1255,Quatre hatchback,../../compcars_cctv/extracted/data_extracted/data/image/158/1255,../../compcars_cctv/extracted/data_extracted/data/image/158/1255/2011/bdf4947c6934ac.jpg,57,40,70.18
271,158,Citroen,1256,Quatre sedan,../../compcars_cctv/extracted/data_extracted/data/image/158/1256,../../compcars_cctv/extracted/data_extracted/data/image/158/1256/2013/7df7f760851aaf.jpg,70,45,64.29
272,158,Citroen,1257,Citroen C2,../../compcars_cctv/extracted/data_extracted/data/image/158/1257,../../compcars_cctv/extracted/data_extracted/data/image/158/1257/2012/5e2f40c0fef8ed.jpg,16,12,75.0
273,158,Citroen,1258,Citroen C4L,../../compcars_cctv/extracted/data_extracted/data/image/158/1258,../../compcars_cctv/extracted/data_extracted/data/image/158/1258/2013/8e279431c30495.jpg,32,21,65.62
274,158,Citroen,1259,Citroen C5,../../compcars_cctv/extracted/data_extracted/data/image/158/1259,../../compcars_cctv/extracted/data_extracted/data/image/158/1259/2011/59ef713e8e5c1e.jpg,85,67,78.82
275,106,Jonway,1313,Yongyuan A380,../../compcars_cctv/extracted/data_extracted/data/image/106/1313,../../compcars_cctv/extracted/data_extracted/data/image/106/1313/2013/b81f40fecbed43.jpg,9,4,44.44
276,39,Toyota,1321,Toyota RAV4,../../compcars_cctv/extracted/data_extracted/data/image/39/1321,../../compcars_cctv/extracted/data_extracted/data/image/39/1321/2009/90553e301ea2d4.jpg,58,30,51.72
277,39,Toyota,1322,Crown,../../compcars_cctv/extracted/data_extracted/data/image/39/1322,../../compcars_cctv/extracted/data_extracted/data/image/39/1322/2010/5be63e1d6e950b.jpg,35,11,31.43
278,39,Toyota,1325,Lcruiser,../../compcars_cctv/extracted/data_extracted/data/image/39/1325,../../compcars_cctv/extracted/data_extracted/data/image/39/1325/2010/f4ea9fe0abbe93.jpg,19,14,73.68
279,39,Toyota,1326,Prado,../../compcars_cctv/extracted/data_extracted/data/image/39/1326,../../compcars_cctv/extracted/data_extracted/data/image/39/1326/2010/326d1b918eca84.jpg,52,47,90.38
280,39,Toyota,1327,Prius,../../compcars_cctv/extracted/data_extracted/data/image/39/1327,../../compcars_cctv/extracted/data_extracted/data/image/39/1327/2012/273740fe227e44.jpg,9,9,100.0
281,39,Toyota,1328,Reiz,../../compcars_cctv/extracted/data_extracted/data/image/39/1328,../../compcars_cctv/extracted/data_extracted/data/image/39/1328/2010/170ca36c2c22bd.jpg,44,24,54.55
282,39,Toyota,1329,Vios,../../compcars_cctv/extracted/data_extracted/data/image/39/1329,../../compcars_cctv/extracted/data_extracted/data/image/39/1329/2013/77b9772295a923.jpg,47,30,63.83
283,39,Toyota,1330,Huaguan,../../compcars_cctv/extracted/data_extracted/data/image/39/1330,../../compcars_cctv/extracted/data_extracted/data/image/39/1330/2010/f73996b949d3ba.jpg,38,23,60.53
284,39,Toyota,1332,Venza,../../compcars_cctv/extracted/data_extracted/data/image/39/1332,../../compcars_cctv/extracted/data_extracted/data/image/39/1332/2013/9714e2975c1bae.jpg,22,12,54.55
285,39,Toyota,1333,Alphard,../../compcars_cctv/extracted/data_extracted/data/image/39/1333,../../compcars_cctv/extracted/data_extracted/data/image/39/1333/2011/cb159d86bd67af.jpg,14,9,64.29
286,39,Toyota,1335,Toyota 86,../../compcars_cctv/extracted/data_extracted/data/image/39/1335,../../compcars_cctv/extracted/data_extracted/data/image/39/1335/2013/349c07c79c5688.jpg,28,17,60.71
287,39,Toyota,1386,Camry,../../compcars_cctv/extracted/data_extracted/data/image/39/1386,../../compcars_cctv/extracted/data_extracted/data/image/39/1386/2008/672763d25d2836.jpg,96,50,52.08
288,39,Toyota,1387,Camry hybrid,../../compcars_cctv/extracted/data_extracted/data/image/39/1387,../../compcars_cctv/extracted/data_extracted/data/image/39/1387/2012/9a27f5c5be1764.jpg,13,9,69.23
289,39,Toyota,1389,Yaris,../../compcars_cctv/extracted/data_extracted/data/image/39/1389,../../compcars_cctv/extracted/data_extracted/data/image/39/1389/2015/32437f58e07208.jpg,42,32,76.19
290,39,Toyota,1390,EZ,../../compcars_cctv/extracted/data_extracted/data/image/39/1390,../../compcars_cctv/extracted/data_extracted/data/image/39/1390/2012/290890107bf06c.jpg,31,20,64.52
291,138,Qoros,1410,Qoros 3,../../compcars_cctv/extracted/data_extracted/data/image/138/1410,../../compcars_cctv/extracted/data_extracted/data/image/138/1410/2014/0c752b2f50f6ba.jpg,16,11,68.75
292,88,GAC,1417,Saboo GX5,../../compcars_cctv/extracted/data_extracted/data/image/88/1417,../../compcars_cctv/extracted/data_extracted/data/image/88/1417/2012/fb3f4334b6206d.jpg,9,5,55.56
293,114,Haima,1441,Haima M3,../../compcars_cctv/extracted/data_extracted/data/image/114/1441,../../compcars_cctv/extracted/data_extracted/data/image/114/1441/2013/d919abe27ce082.jpg,24,18,75.0
294,114,Haima,1443,Haima S5,../../compcars_cctv/extracted/data_extracted/data/image/114/1443,../../compcars_cctv/extracted/data_extracted/data/image/114/1443/2014/1438feabdad472.jpg,14,8,57.14
295,114,Haima,1444,Haima S7,../../compcars_cctv/extracted/data_extracted/data/image/114/1444,../../compcars_cctv/extracted/data_extracted/data/image/114/1444/2013/7a0ebcb7daf3ff.jpg,13,11,84.62
296,114,Haima,1445,Haimaqishi,../../compcars_cctv/extracted/data_extracted/data/image/114/1445,../../compcars_cctv/extracted/data_extracted/data/image/114/1445/2010/30be891036a779.jpg,28,19,67.86
297,114,Haima,1446,Haydo,../../compcars_cctv/extracted/data_extracted/data/image/114/1446,../../compcars_cctv/extracted/data_extracted/data/image/114/1446/2010/58baee5b62de73.jpg,28,19,67.86
298,114,Haima,1447,Premacy,../../compcars_cctv/extracted/data_extracted/data/image/114/1447,../../compcars_cctv/extracted/data_extracted/data/image/114/1447/2010/646cc81c4a3ae6.jpg,40,26,65.0
299,114,Haima,1448,Qiubite,../../compcars_cctv/extracted/data_extracted/data/image/114/1448,../../compcars_cctv/extracted/data_extracted/data/image/114/1448/2010/a3dcad20526ee9.jpg,29,6,20.69
300,114,Haima,1450,Family M5,../../compcars_cctv/extracted/data_extracted/data/image/114/1450,../../compcars_cctv/extracted/data_extracted/data/image/114/1450/2014/793ad7dcba49bd.jpg,14,4,28.57
301,64,Huatai,1452,Lusheng E70,../../compcars_cctv/extracted/data_extracted/data/image/64/1452,../../compcars_cctv/extracted/data_extracted/data/image/64/1452/2013/a219296c93997b.jpg,15,9,60.0
302,69,Geely,1478,Geely SC7,../../compcars_cctv/extracted/data_extracted/data/image/69/1478,../../compcars_cctv/extracted/data_extracted/data/image/69/1478/2011/262f61bb1da039.jpg,15,4,26.67
303,69,Geely,1483,King Kong sedan,../../compcars_cctv/extracted/data_extracted/data/image/69/1483,../../compcars_cctv/extracted/data_extracted/data/image/69/1483/2014/8dcb3e25d9b2de.jpg,39,15,38.46
304,69,Geely,1486,Classic Imperial hatchback,../../compcars_cctv/extracted/data_extracted/data/image/69/1486,../../compcars_cctv/extracted/data_extracted/data/image/69/1486/2013/3a10eea5ba967c.jpg,35,16,45.71
305,69,Geely,1487,Classic Imperial sedan,../../compcars_cctv/extracted/data_extracted/data/image/69/1487,../../compcars_cctv/extracted/data_extracted/data/image/69/1487/2010/8ff208f974547d.jpg,50,26,52.0
306,69,Geely,1494,Ziyoujian,../../compcars_cctv/extracted/data_extracted/data/image/69/1494,../../compcars_cctv/extracted/data_extracted/data/image/69/1494/2010/0cde8f53402eea.jpg,19,8,42.11
307,69,Geely,1509,Geely EC8,../../compcars_cctv/extracted/data_extracted/data/image/69/1509,../../compcars_cctv/extracted/data_extracted/data/image/69/1509/2013/080bbf00f23a5d.jpg,24,17,70.83
308,108,Jianghuai,1516,Binyue,../../compcars_cctv/extracted/data_extracted/data/image/108/1516,../../compcars_cctv/extracted/data_extracted/data/image/108/1516/2009/81cd1bb7fd71b4.jpg,27,12,44.44
309,108,Jianghuai,1521,Heyue RS,../../compcars_cctv/extracted/data_extracted/data/image/108/1521,../../compcars_cctv/extracted/data_extracted/data/image/108/1521/2009/03d76f18bda9d9.jpg,63,55,87.3
310,108,Jianghuai,1526,Ruifeng M5,../../compcars_cctv/extracted/data_extracted/data/image/108/1526,../../compcars_cctv/extracted/data_extracted/data/image/108/1526/2012/c9ad60a8402690.jpg,18,11,61.11
311,108,Jianghuai,1528,Ruifeng S5,../../compcars_cctv/extracted/data_extracted/data/image/108/1528,../../compcars_cctv/extracted/data_extracted/data/image/108/1528/2012/e41e60439433d0.jpg,13,5,38.46
312,108,Jianghuai,1530,Ruiying,../../compcars_cctv/extracted/data_extracted/data/image/108/1530,../../compcars_cctv/extracted/data_extracted/data/image/108/1530/2011/74e87081357fd5.jpg,21,14,66.67
313,108,Jianghuai,1531,Tongyue,../../compcars_cctv/extracted/data_extracted/data/image/108/1531,../../compcars_cctv/extracted/data_extracted/data/image/108/1531/2009/72606f21f54650.jpg,53,24,45.28
314,108,Jianghuai,1543,Heyue,../../compcars_cctv/extracted/data_extracted/data/image/108/1543,../../compcars_cctv/extracted/data_extracted/data/image/108/1543/2012/12ec61f140f5a8.jpg,45,11,24.44
315,148,Jinbei,1554,Dahaishi,../../compcars_cctv/extracted/data_extracted/data/image/148/1554,../../compcars_cctv/extracted/data_extracted/data/image/148/1554/2011/d14e2ab4b2dd01.jpg,21,20,95.24
316,159,Lexus,1565,Lexus CT,../../compcars_cctv/extracted/data_extracted/data/image/159/1565,../../compcars_cctv/extracted/data_extracted/data/image/159/1565/2014/75a983f212e19d.jpg,44,31,70.45
317,159,Lexus,1566,Lexus ES hybrid,../../compcars_cctv/extracted/data_extracted/data/image/159/1566,../../compcars_cctv/extracted/data_extracted/data/image/159/1566/2013/26d09420e6c1de.jpg,14,7,50.0
318,159,Lexus,1567,Lexus GS,../../compcars_cctv/extracted/data_extracted/data/image/159/1567,../../compcars_cctv/extracted/data_extracted/data/image/159/1567/2014/93ad344cb04b1c.jpg,33,13,39.39
319,159,Lexus,1568,Lexus GS hybrid,../../compcars_cctv/extracted/data_extracted/data/image/159/1568,../../compcars_cctv/extracted/data_extracted/data/image/159/1568/2009/7de20b14b21c3e.jpg,43,18,41.86
320,159,Lexus,1569,Lexus GX,../../compcars_cctv/extracted/data_extracted/data/image/159/1569,../../compcars_cctv/extracted/data_extracted/data/image/159/1569/2014/f37bb5c3757cb4.jpg,17,8,47.06
321,159,Lexus,1570,Lexus IS,../../compcars_cctv/extracted/data_extracted/data/image/159/1570,../../compcars_cctv/extracted/data_extracted/data/image/159/1570/2013/70fc9fea421909.jpg,32,20,62.5
322,159,Lexus,1571,Lexus IS convertible ,../../compcars_cctv/extracted/data_extracted/data/image/159/1571,../../compcars_cctv/extracted/data_extracted/data/image/159/1571/2011/c975a6f24b7f88.jpg,24,24,100.0
323,159,Lexus,1574,Lexus LS hybrid,../../compcars_cctv/extracted/data_extracted/data/image/159/1574,../../compcars_cctv/extracted/data_extracted/data/image/159/1574/2013/5f04b8e0a9d228.jpg,17,12,70.59
324,159,Lexus,1577,Lexus RX,../../compcars_cctv/extracted/data_extracted/data/image/159/1577,../../compcars_cctv/extracted/data_extracted/data/image/159/1577/2007/08e76318a3be24.jpg,62,51,82.26
325,159,Lexus,1578,Lexus RX hybrid,../../compcars_cctv/extracted/data_extracted/data/image/159/1578,../../compcars_cctv/extracted/data_extracted/data/image/159/1578/2013/5722e346d411a7.jpg,22,11,50.0
326,159,Lexus,1587,Lexus ES,../../compcars_cctv/extracted/data_extracted/data/image/159/1587,../../compcars_cctv/extracted/data_extracted/data/image/159/1587/2013/b8a0861b7fd4b6.jpg,14,4,28.57
327,55,Lifan,1590,Lifan 520,../../compcars_cctv/extracted/data_extracted/data/image/55/1590,../../compcars_cctv/extracted/data_extracted/data/image/55/1590/2010/f9b49cbf87a5ce.jpg,15,8,53.33
328,55,Lifan,1595,Lifan 720,../../compcars_cctv/extracted/data_extracted/data/image/55/1595,../../compcars_cctv/extracted/data_extracted/data/image/55/1595/2014/8a17084f34a5ec.jpg,11,6,54.55
329,55,Lifan,1601,Lifan 320,../../compcars_cctv/extracted/data_extracted/data/image/55/1601,../../compcars_cctv/extracted/data_extracted/data/image/55/1601/2010/5f771533e237e1.jpg,37,33,89.19
330,133,Lotus,1602,Jingyue,../../compcars_cctv/extracted/data_extracted/data/image/133/1602,../../compcars_cctv/extracted/data_extracted/data/image/133/1602/2009/b36b0b735e8b43.jpg,13,12,92.31
331,162,MAZDA,1609,Atenza,../../compcars_cctv/extracted/data_extracted/data/image/162/1609,../../compcars_cctv/extracted/data_extracted/data/image/162/1609/2014/d7045d219cbd4c.jpg,14,7,50.0
332,162,MAZDA,1611,Mazda CX7,../../compcars_cctv/extracted/data_extracted/data/image/162/1611,../../compcars_cctv/extracted/data_extracted/data/image/162/1611/2014/3eceaeb5d7e84b.jpg,24,8,33.33
333,162,MAZDA,1612,Ruiyi,../../compcars_cctv/extracted/data_extracted/data/image/162/1612,../../compcars_cctv/extracted/data_extracted/data/image/162/1612/2009/76e3caa2691102.jpg,32,20,62.5
334,162,MAZDA,1613,Ruiyi coupe,../../compcars_cctv/extracted/data_extracted/data/image/162/1613,../../compcars_cctv/extracted/data_extracted/data/image/162/1613/2010/e4ed2f1bbf89f7.jpg,30,20,66.67
335,162,MAZDA,1614,Mazda 6,../../compcars_cctv/extracted/data_extracted/data/image/162/1614,../../compcars_cctv/extracted/data_extracted/data/image/162/1614/2013/1c4633ec319604.jpg,38,19,50.0
336,162,MAZDA,1620,Mazda 3 abroad version,../../compcars_cctv/extracted/data_extracted/data/image/162/1620,../../compcars_cctv/extracted/data_extracted/data/image/162/1620/2014/5bed2beae9d0d2.jpg,34,21,61.76
337,162,MAZDA,1629,Mazda 5,../../compcars_cctv/extracted/data_extracted/data/image/162/1629,../../compcars_cctv/extracted/data_extracted/data/image/162/1629/2013/db233483e870f1.jpg,32,30,93.75
338,162,MAZDA,1631,Mazda 2,../../compcars_cctv/extracted/data_extracted/data/image/162/1631,../../compcars_cctv/extracted/data_extracted/data/image/162/1631/2012/7acfeb0e36b122.jpg,47,36,76.6
339,162,MAZDA,1632,Mazda 2 sedan,../../compcars_cctv/extracted/data_extracted/data/image/162/1632,../../compcars_cctv/extracted/data_extracted/data/image/162/1632/2011/93f0e8af02f582.jpg,11,4,36.36
340,162,MAZDA,1633,Mazda 3,../../compcars_cctv/extracted/data_extracted/data/image/162/1633,../../compcars_cctv/extracted/data_extracted/data/image/162/1633/2010/05cbca02c0e7a0.jpg,29,10,34.48
341,162,MAZDA,1634,Mazda 3 Xingcheng hatchback,../../compcars_cctv/extracted/data_extracted/data/image/162/1634,../../compcars_cctv/extracted/data_extracted/data/image/162/1634/2012/50b8bf9cee5c1a.jpg,16,15,93.75
342,162,MAZDA,1635,Mazda 3 Xingcheng sedan,../../compcars_cctv/extracted/data_extracted/data/image/162/1635,../../compcars_cctv/extracted/data_extracted/data/image/162/1635/2011/736a7f0ce79dbe.jpg,26,9,34.62
343,162,MAZDA,1636,Mazda CX-5,../../compcars_cctv/extracted/data_extracted/data/image/162/1636,../../compcars_cctv/extracted/data_extracted/data/image/162/1636/2013/d2bf85622d50df.jpg,29,25,86.21
344,162,MAZDA,1637,Axela sedan,../../compcars_cctv/extracted/data_extracted/data/image/162/1637,../../compcars_cctv/extracted/data_extracted/data/image/162/1637/2014/303792de3d6892.jpg,14,13,92.86
345,75,Chrey,1652,Eastar Cross,../../compcars_cctv/extracted/data_extracted/data/image/75/1652,../../compcars_cctv/extracted/data_extracted/data/image/75/1652/2009/a8597dc8baa374.jpg,14,8,57.14
346,75,Chrey,1653,Fulwin 2 hatchback,../../compcars_cctv/extracted/data_extracted/data/image/75/1653,../../compcars_cctv/extracted/data_extracted/data/image/75/1653/2010/c0c021b865d185.jpg,12,3,25.0
347,75,Chrey,1654,Fulwin 2 sedan,../../compcars_cctv/extracted/data_extracted/data/image/75/1654,../../compcars_cctv/extracted/data_extracted/data/image/75/1654/2010/e4ac2bc38e4889.jpg,16,12,75.0
348,75,Chrey,1656,Chrey A3 hatchback,../../compcars_cctv/extracted/data_extracted/data/image/75/1656,../../compcars_cctv/extracted/data_extracted/data/image/75/1656/2008/453f01f50a27dd.jpg,29,27,93.1
349,75,Chrey,1657,Chrey A3 sedan,../../compcars_cctv/extracted/data_extracted/data/image/75/1657,../../compcars_cctv/extracted/data_extracted/data/image/75/1657/2010/2ecad8db076348.jpg,17,15,88.24
350,75,Chrey,1660,Chrey E5,../../compcars_cctv/extracted/data_extracted/data/image/75/1660,../../compcars_cctv/extracted/data_extracted/data/image/75/1660/2011/7d0eb70a6f2065.jpg,27,17,62.96
351,75,Chrey,1661,Chrey QQ,../../compcars_cctv/extracted/data_extracted/data/image/75/1661,../../compcars_cctv/extracted/data_extracted/data/image/75/1661/2013/b57b9505df206b.jpg,11,6,54.55
352,75,Chrey,1662,Chrey QQ3,../../compcars_cctv/extracted/data_extracted/data/image/75/1662,../../compcars_cctv/extracted/data_extracted/data/image/75/1662/2009/948b977dcbefc5.jpg,24,19,79.17
353,75,Chrey,1665,Chrey X1,../../compcars_cctv/extracted/data_extracted/data/image/75/1665,../../compcars_cctv/extracted/data_extracted/data/image/75/1665/2010/45e3d65a5bcd3c.jpg,22,22,100.0
354,75,Chrey,1668,Cowin 2,../../compcars_cctv/extracted/data_extracted/data/image/75/1668,../../compcars_cctv/extracted/data_extracted/data/image/75/1668/2012/11c5ebfa96cba4.jpg,20,12,60.0
355,75,Chrey,1669,Cowin 3,../../compcars_cctv/extracted/data_extracted/data/image/75/1669,../../compcars_cctv/extracted/data_extracted/data/image/75/1669/2010/0224277fd60877.jpg,13,5,38.46
356,75,Chrey,1671,Tiggo,../../compcars_cctv/extracted/data_extracted/data/image/75/1671,../../compcars_cctv/extracted/data_extracted/data/image/75/1671/2009/2faf11e7f406af.jpg,51,46,90.2
357,75,Chrey,1673,Tiggo 5,../../compcars_cctv/extracted/data_extracted/data/image/75/1673,../../compcars_cctv/extracted/data_extracted/data/image/75/1673/2014/d5de2d7bfce50a.jpg,13,7,53.85
358,75,Chrey,1683,Arrizo 7,../../compcars_cctv/extracted/data_extracted/data/image/75/1683,../../compcars_cctv/extracted/data_extracted/data/image/75/1683/2013/187a1490a4378f.jpg,14,7,50.0
359,120,Ruiqi,1691,Ruiqi G5,../../compcars_cctv/extracted/data_extracted/data/image/120/1691,../../compcars_cctv/extracted/data_extracted/data/image/120/1691/2010/8d475f4d68d075.jpg,27,21,77.78
360,26,smart,1692,smart fortwo,../../compcars_cctv/extracted/data_extracted/data/image/26/1692,../../compcars_cctv/extracted/data_extracted/data/image/26/1692/2012/f812a80741f54a.jpg,80,67,83.75
361,111,Volvo,1701,Volvo C30,../../compcars_cctv/extracted/data_extracted/data/image/111/1701,../../compcars_cctv/extracted/data_extracted/data/image/111/1701/2009/c1b3bd781b0fa4.jpg,74,60,81.08
362,111,Volvo,1702,Volvo S60,../../compcars_cctv/extracted/data_extracted/data/image/111/1702,../../compcars_cctv/extracted/data_extracted/data/image/111/1702/2013/878711a4117a4b.jpg,59,37,62.71
363,111,Volvo,1703,Volvo V40,../../compcars_cctv/extracted/data_extracted/data/image/111/1703,../../compcars_cctv/extracted/data_extracted/data/image/111/1703/2013/74613a239844bf.jpg,32,19,59.38
364,111,Volvo,1704,Volvo V40 CrossCountry,../../compcars_cctv/extracted/data_extracted/data/image/111/1704,../../compcars_cctv/extracted/data_extracted/data/image/111/1704/2014/f6b926544afc81.jpg,15,10,66.67
365,111,Volvo,1705,Volvo V60,../../compcars_cctv/extracted/data_extracted/data/image/111/1705,../../compcars_cctv/extracted/data_extracted/data/image/111/1705/2013/0506aae4f0c817.jpg,49,34,69.39
366,111,Volvo,1706,Volvo XC60,../../compcars_cctv/extracted/data_extracted/data/image/111/1706,../../compcars_cctv/extracted/data_extracted/data/image/111/1706/2009/c0507c0456e6cd.jpg,100,81,81.0
367,111,Volvo,1707,Volvo XC90 abroad version,../../compcars_cctv/extracted/data_extracted/data/image/111/1707,../../compcars_cctv/extracted/data_extracted/data/image/111/1707/2011/7c7f2672e61c52.jpg,80,69,86.25
368,111,Volvo,1719,Volvo C70,../../compcars_cctv/extracted/data_extracted/data/image/111/1719,../../compcars_cctv/extracted/data_extracted/data/image/111/1719/2010/1c0908f26353b7.jpg,29,23,79.31
369,111,Volvo,1720,Volvo S40,../../compcars_cctv/extracted/data_extracted/data/image/111/1720,../../compcars_cctv/extracted/data_extracted/data/image/111/1720/2011/bb9ae73cb2d1a8.jpg,27,13,48.15
370,111,Volvo,1721,Volvo S80L,../../compcars_cctv/extracted/data_extracted/data/image/111/1721,../../compcars_cctv/extracted/data_extracted/data/image/111/1721/2010/12dd99cf2dd9de.jpg,66,44,66.67
371,111,Volvo,1722,Volvo S60L,../../compcars_cctv/extracted/data_extracted/data/image/111/1722,../../compcars_cctv/extracted/data_extracted/data/image/111/1722/2014/9302fc4af29835.jpg,27,15,55.56
372,89,Karry,1786,Youyou,../../compcars_cctv/extracted/data_extracted/data/image/89/1786,../../compcars_cctv/extracted/data_extracted/data/image/89/1786/2010/f449f27e288f75.jpg,10,8,80.0
373,149,Suzuki,1790,Alto,../../compcars_cctv/extracted/data_extracted/data/image/149/1790,../../compcars_cctv/extracted/data_extracted/data/image/149/1790/2010/6b1285d35dcaac.jpg,48,46,95.83
374,149,Suzuki,1791,Cultus,../../compcars_cctv/extracted/data_extracted/data/image/149/1791,../../compcars_cctv/extracted/data_extracted/data/image/149/1791/2011/4bf088112a43b3.jpg,17,16,94.12
375,149,Suzuki,1793,Tianyu SX4 hatchback,../../compcars_cctv/extracted/data_extracted/data/image/149/1793,../../compcars_cctv/extracted/data_extracted/data/image/149/1793/2012/f89762d1e93b26.jpg,60,33,55.0
376,149,Suzuki,1794,Tianyu SX4 sedan,../../compcars_cctv/extracted/data_extracted/data/image/149/1794,../../compcars_cctv/extracted/data_extracted/data/image/149/1794/2009/377bce9eb0f192.jpg,13,7,53.85
377,149,Suzuki,1795,Tianyushangyue,../../compcars_cctv/extracted/data_extracted/data/image/149/1795,../../compcars_cctv/extracted/data_extracted/data/image/149/1795/2011/d6ca9d17e6cfff.jpg,15,13,86.67
378,149,Suzuki,1796,Yuyan,../../compcars_cctv/extracted/data_extracted/data/image/149/1796,../../compcars_cctv/extracted/data_extracted/data/image/149/1796/2013/67f8650dbd56cb.jpg,48,47,97.92
379,149,Suzuki,1799,Kazishi,../../compcars_cctv/extracted/data_extracted/data/image/149/1799,../../compcars_cctv/extracted/data_extracted/data/image/149/1799/2010/c20089f85a8e77.jpg,27,13,48.15
380,149,Suzuki,1812,Bei Douxing,../../compcars_cctv/extracted/data_extracted/data/image/149/1812,../../compcars_cctv/extracted/data_extracted/data/image/149/1812/2010/67100002fa9770.jpg,42,34,80.95
381,119,Everus,1819,Linian S1,../../compcars_cctv/extracted/data_extracted/data/image/119/1819,../../compcars_cctv/extracted/data_extracted/data/image/119/1819/2013/6a78e204a8e331.jpg,21,11,52.38
382,14,MG,1827,MG3 SW,../../compcars_cctv/extracted/data_extracted/data/image/14/1827,../../compcars_cctv/extracted/data_extracted/data/image/14/1827/2009/4531bf6ab1e953.jpg,14,13,92.86
383,14,MG,1829,MG5,../../compcars_cctv/extracted/data_extracted/data/image/14/1829,../../compcars_cctv/extracted/data_extracted/data/image/14/1829/2014/b33958e479a8f0.jpg,26,14,53.85
384,14,MG,1830,MG6 sedan,../../compcars_cctv/extracted/data_extracted/data/image/14/1830,../../compcars_cctv/extracted/data_extracted/data/image/14/1830/2011/2e873fb5f79539.jpg,12,7,58.33
385,14,MG,1831,MG6 hatchback,../../compcars_cctv/extracted/data_extracted/data/image/14/1831,../../compcars_cctv/extracted/data_extracted/data/image/14/1831/2010/8df660fd15febb.jpg,40,29,72.5
386,14,MG,1832,MG7,../../compcars_cctv/extracted/data_extracted/data/image/14/1832,../../compcars_cctv/extracted/data_extracted/data/image/14/1832/2010/467c8a26aa43e6.jpg,14,9,64.29
387,14,MG,1836,MG3,../../compcars_cctv/extracted/data_extracted/data/image/14/1836,../../compcars_cctv/extracted/data_extracted/data/image/14/1836/2011/290ce681b289f3.jpg,43,32,74.42
388,103,Opel,1842,Antara,../../compcars_cctv/extracted/data_extracted/data/image/103/1842,../../compcars_cctv/extracted/data_extracted/data/image/103/1842/2013/bac9866ddfa6f9.jpg,32,15,46.88
389,103,Opel,1843,Zafira,../../compcars_cctv/extracted/data_extracted/data/image/103/1843,../../compcars_cctv/extracted/data_extracted/data/image/103/1843/2013/2f08366cc03811.jpg,13,8,61.54
390,103,Opel,1845,GTC hatchback,../../compcars_cctv/extracted/data_extracted/data/image/103/1845,../../compcars_cctv/extracted/data_extracted/data/image/103/1845/2014/5e3e964d4a88e3.jpg,35,17,48.57
391,70,Venucia,1859,Venucia R50,../../compcars_cctv/extracted/data_extracted/data/image/70/1859,../../compcars_cctv/extracted/data_extracted/data/image/70/1859/2014/01ec53a00f08f5.jpg,19,11,57.89
392,70,Venucia,1863,Venucia D50,../../compcars_cctv/extracted/data_extracted/data/image/70/1863,../../compcars_cctv/extracted/data_extracted/data/image/70/1863/2013/328c829ee31bad.jpg,25,12,48.0
393,28,Mitsubishi,1866,Pajero,../../compcars_cctv/extracted/data_extracted/data/image/28/1866,../../compcars_cctv/extracted/data_extracted/data/image/28/1866/2015/f753b749a258a2.jpg,77,63,81.82
